5,4,6,5, 0.31875122
5,1,4,2, 0.99375594
3,4,3,1, 1.4999949
2,2,4,1, 0.58125305
3,1,4,2, 0.76875436
3,1,5,1, 0.5437528
3,5,3,1, 1.2999974
3,1,3,1, 4.299977
3,1,4,3, 1.0312537
3,3,3,1, 1.8999897
4,1,5,4, 0.431252
1,2,5,4, 0.58125305
3,3,3,2, 4.299977
5,4,5,4, 0.31875122
4,3,4,3, 0.5437528
5,5,6,5, 0.28125095
4,2,4,2, 0.35625148
1,4,4,2, 0.46875226
2,2,6,5, 0.5437528
1,2,4,1, 0.6187533
1,3,5,4, 0.5062525
2,5,4,1, 0.20625044
3,2,3,1, 3.899964
5,5,4,2, 0.5062525
2,5,4,3, 1.1062483
1,5,3,1, 3.899964
1,2,4,2, 0.8062546
1,3,3,1, 3.899964
5,3,3,2, 1.4999949
2,1,3,1, 5.100014
4,4,3,2, 1.4999949
1,3,3,2, 4.6999955
5,1,4,1, 0.88125515
2,1,5,4, 0.8062546
5,5,3,1, 0.7000007
4,5,3,2, 0.9000011
5,2,3,1, 1.4999949
1,4,4,1, 0.2437507
1,4,3,1, 4.0999675
5,2,4,3, 0.99375594
1,2,3,1, 4.6999955
4,2,4,3, 0.58125305
1,1,5,4, 0.8062546
4,1,3,2, 2.6999795
3,5,6,5, 0.46875226
2,3,3,2, 4.499986
2,5,3,1, 3.6999667
3,4,4,3, 0.9562557
1,2,3,2, 4.499986
1,1,6,5, 0.8062546
